serialNumber,macAddress,type,registrationStatus,accessToken,desiredConfigurationTemplate,desiredConfigurationMd5,desiredConfigurationSize
C10625050767,00:0B:C2:19:9E:DB,P300,ACTIVATED,185803000BC2199EDB,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050869,00:0B:C2:19:9F:A7,P300,ACTIVATED,185803000BC2199FA7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625050885,00:0B:C2:19:9F:C7,P300,ACTIVATED,185803000BC2199FC7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051000,00:0B:C2:19:A0:AD,P300,ACTIVATED,185803000BC219A0AD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051046,00:0B:C2:19:A1:09,P300,ACTIVATED,185803000BC219A109,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051070,00:0B:C2:19:A1:39,P300,ACTIVATED,185803000BC219A139,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051075,00:0B:C2:19:A1:43,P300,ACTIVATED,185803000BC219A143,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051231,00:0B:C2:19:A2:7B,P300,ACTIVATED,185803000BC219A27B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051264,00:0B:C2:19:A2:BD,P300,ACTIVATED,185803000BC219A2BD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051278,00:0B:C2:19:A2:D9,P300,ACTIVATED,185803000BC219A2D9,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051385,00:0B:C2:19:A3:AF,P300,ACTIVATED,185803000BC219A3AF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051514,00:0B:C2:19:A4:B1,P300,ACTIVATED,185803000BC219A4B1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051558,00:0B:C2:19:A5:09,P300,ACTIVATED,185803000BC219A509,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051712,00:0B:C2:19:A6:3D,P300,ACTIVATED,185803000BC219A63D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051776,00:0B:C2:19:A6:BD,P300,ACTIVATED,185803000BC219A6BD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051793,00:0B:C2:19:A6:DF,P300,ACTIVATED,185803000BC219A6DF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051826,00:0B:C2:19:A7:21,P300,ACTIVATED,185803000BC219A721,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051850,00:0B:C2:19:A7:51,P300,ACTIVATED,185803000BC219A751,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051854,00:0B:C2:19:A7:59,P300,ACTIVATED,185803000BC219A759,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051896,00:0B:C2:19:A7:AD,P300,ACTIVATED,185803000BC219A7AD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051931,00:0B:C2:19:A7:F3,P300,ACTIVATED,185803000BC219A7F3,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051950,00:0B:C2:19:A8:19,P300,ACTIVATED,185803000BC219A819,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051959,00:0B:C2:19:A8:2B,P300,ACTIVATED,185803000BC219A82B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051963,00:0B:C2:19:A8:33,P300,ACTIVATED,185803000BC219A833,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051965,00:0B:C2:19:A8:37,P300,ACTIVATED,185803000BC219A837,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625051992,00:0B:C2:19:A8:6D,P300,ACTIVATED,185803000BC219A86D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052012,00:0B:C2:19:A8:95,P300,ACTIVATED,185803000BC219A895,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052042,00:0B:C2:19:A8:D1,P300,ACTIVATED,185803000BC219A8D1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052053,00:0B:C2:19:A8:E7,P300,ACTIVATED,185803000BC219A8E7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052060,00:0B:C2:19:A8:F5,P300,ACTIVATED,185803000BC219A8F5,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052071,00:0B:C2:19:A9:0B,P300,ACTIVATED,185803000BC219A90B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052077,00:0B:C2:19:A9:17,P300,ACTIVATED,185803000BC219A917,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052084,00:0B:C2:19:A9:25,P300,ACTIVATED,185803000BC219A925,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052116,00:0B:C2:19:A9:65,P300,ACTIVATED,185803000BC219A965,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052119,00:0B:C2:19:A9:6B,P300,ACTIVATED,185803000BC219A96B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052169,00:0B:C2:19:A9:CF,P300,ACTIVATED,185803000BC219A9CF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052183,00:0B:C2:19:A9:EB,P300,ACTIVATED,185803000BC219A9EB,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052195,00:0B:C2:19:AA:03,P300,ACTIVATED,185803000BC219AA03,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052255,00:0B:C2:19:AA:7B,P300,ACTIVATED,185803000BC219AA7B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052259,00:0B:C2:19:AA:83,P300,ACTIVATED,185803000BC219AA83,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052261,00:0B:C2:19:AA:87,P300,ACTIVATED,185803000BC219AA87,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052345,00:0B:C2:19:AB:2F,P300,ACTIVATED,185803000BC219AB2F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052546,00:0B:C2:19:AC:C1,P300,ACTIVATED,185803000BC219ACC1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052560,00:0B:C2:19:AC:DD,P300,ACTIVATED,185803000BC219ACDD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052569,00:0B:C2:19:AC:EF,P300,ACTIVATED,185803000BC219ACEF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052721,00:0B:C2:19:AE:1F,P300,ACTIVATED,185803000BC219AE1F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052753,00:0B:C2:19:AE:5F,P300,ACTIVATED,185803000BC219AE5F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052760,00:0B:C2:19:AE:6D,P300,ACTIVATED,185803000BC219AE6D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052781,00:0B:C2:19:AE:97,P300,ACTIVATED,185803000BC219AE97,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052789,00:0B:C2:19:AE:A7,P300,ACTIVATED,185803000BC219AEA7,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052804,00:0B:C2:19:AE:C5,P300,ACTIVATED,185803000BC219AEC5,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052810,00:0B:C2:19:AE:D1,P300,ACTIVATED,185803000BC219AED1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052812,00:0B:C2:19:AE:D5,P300,ACTIVATED,185803000BC219AED5,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052825,00:0B:C2:19:AE:EF,P300,ACTIVATED,185803000BC219AEEF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052854,00:0B:C2:19:AF:29,P300,ACTIVATED,185803000BC219AF29,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052875,00:0B:C2:19:AF:53,P300,ACTIVATED,185803000BC219AF53,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052885,00:0B:C2:19:AF:67,P300,ACTIVATED,185803000BC219AF67,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052891,00:0B:C2:19:AF:73,P300,ACTIVATED,185803000BC219AF73,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052900,00:0B:C2:19:AF:85,P300,ACTIVATED,185803000BC219AF85,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052901,00:0B:C2:19:AF:87,P300,ACTIVATED,185803000BC219AF87,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052946,00:0B:C2:19:AF:E1,P300,ACTIVATED,185803000BC219AFE1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052958,00:0B:C2:19:AF:F9,P300,ACTIVATED,185803000BC219AFF9,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625052995,00:0B:C2:19:B0:43,P300,ACTIVATED,185803000BC219B043,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053007,00:0B:C2:19:B0:5B,P300,ACTIVATED,185803000BC219B05B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053008,00:0B:C2:19:B0:5D,P300,ACTIVATED,185803000BC219B05D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053009,00:0B:C2:19:B0:5F,P300,ACTIVATED,185803000BC219B05F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053010,00:0B:C2:19:B0:61,P300,ACTIVATED,185803000BC219B061,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053011,00:0B:C2:19:B0:63,P300,ACTIVATED,185803000BC219B063,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053012,00:0B:C2:19:B0:65,P300,ACTIVATED,185803000BC219B065,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053013,00:0B:C2:19:B0:67,P300,ACTIVATED,185803000BC219B067,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053014,00:0B:C2:19:B0:69,P300,ACTIVATED,185803000BC219B069,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053015,00:0B:C2:19:B0:6B,P300,ACTIVATED,185803000BC219B06B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053016,00:0B:C2:19:B0:6D,P300,ACTIVATED,185803000BC219B06D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053017,00:0B:C2:19:B0:6F,P300,ACTIVATED,185803000BC219B06F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053018,00:0B:C2:19:B0:71,P300,ACTIVATED,185803000BC219B071,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053019,00:0B:C2:19:B0:73,P300,ACTIVATED,185803000BC219B073,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053020,00:0B:C2:19:B0:75,P300,ACTIVATED,185803000BC219B075,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053021,00:0B:C2:19:B0:77,P300,ACTIVATED,185803000BC219B077,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053022,00:0B:C2:19:B0:79,P300,ACTIVATED,185803000BC219B079,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053023,00:0B:C2:19:B0:7B,P300,ACTIVATED,185803000BC219B07B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053024,00:0B:C2:19:B0:7D,P300,ACTIVATED,185803000BC219B07D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053040,00:0B:C2:19:B0:9D,P300,ACTIVATED,185803000BC219B09D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053042,00:0B:C2:19:B0:A1,P300,ACTIVATED,185803000BC219B0A1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053048,00:0B:C2:19:B0:AD,P300,ACTIVATED,185803000BC219B0AD,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053084,00:0B:C2:19:B0:F5,P300,ACTIVATED,185803000BC219B0F5,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053094,00:0B:C2:19:B1:09,P300,ACTIVATED,185803000BC219B109,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053120,00:0B:C2:19:B1:3D,P300,ACTIVATED,185803000BC219B13D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053136,00:0B:C2:19:B1:5D,P300,ACTIVATED,185803000BC219B15D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053149,00:0B:C2:19:B1:77,P300,ACTIVATED,185803000BC219B177,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053150,00:0B:C2:19:B1:79,P300,ACTIVATED,185803000BC219B179,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053151,00:0B:C2:19:B1:7B,P300,ACTIVATED,185803000BC219B17B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053152,00:0B:C2:19:B1:7D,P300,ACTIVATED,185803000BC219B17D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053153,00:0B:C2:19:B1:7F,P300,ACTIVATED,185803000BC219B17F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053154,00:0B:C2:19:B1:81,P300,ACTIVATED,185803000BC219B181,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053155,00:0B:C2:19:B1:83,P300,ACTIVATED,185803000BC219B183,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053156,00:0B:C2:19:B1:85,P300,ACTIVATED,185803000BC219B185,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053157,00:0B:C2:19:B1:87,P300,ACTIVATED,185803000BC219B187,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053158,00:0B:C2:19:B1:89,P300,ACTIVATED,185803000BC219B189,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053159,00:0B:C2:19:B1:8B,P300,ACTIVATED,185803000BC219B18B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053160,00:0B:C2:19:B1:8D,P300,ACTIVATED,185803000BC219B18D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053161,00:0B:C2:19:B1:8F,P300,ACTIVATED,185803000BC219B18F,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053162,00:0B:C2:19:B1:91,P300,ACTIVATED,185803000BC219B191,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053163,00:0B:C2:19:B1:93,P300,ACTIVATED,185803000BC219B193,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053165,00:0B:C2:19:B1:97,P300,ACTIVATED,185803000BC219B197,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053166,00:0B:C2:19:B1:99,P300,ACTIVATED,185803000BC219B199,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053167,00:0B:C2:19:B1:9B,P300,ACTIVATED,185803000BC219B19B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053168,00:0B:C2:19:B1:9D,P300,ACTIVATED,185803000BC219B19D,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053177,00:0B:C2:19:B1:AF,P300,ACTIVATED,185803000BC219B1AF,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053183,00:0B:C2:19:B1:BB,P300,ACTIVATED,185803000BC219B1BB,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053202,00:0B:C2:19:B1:E1,P300,ACTIVATED,185803000BC219B1E1,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053222,00:0B:C2:19:B2:09,P300,ACTIVATED,185803000BC219B209,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
C10625053223,00:0B:C2:19:B2:0B,P300,ACTIVATED,185803000BC219B20B,CFG-0001-0100-PROXY-20230131-FTPS-v1.tar.gz,9768cbe43fa48cec894443e8c03ed399,630
